Url;Status code;Status name;Fetch Time;Modified Time;Retries since fetch;Retry interval seconds;Retry interval days;Score;Signature;Metadata
"https://www.aoncadis.org/contact/Claudia%20Boot/project.html";2;"db_fetched";Wed Dec 03 11:07:16 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"d2c247735e9d03096d70fe70709fe086";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:534|||"
"https://www.aoncadis.org/contact/Dale%20Chayes/project.html";2;"db_fetched";Wed Dec 03 10:16:06 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"c9429da6e5fa51fd3bb3872f726d8994";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:542|||"
"https://www.aoncadis.org/contact/Dr.%20Knut%20Aagaard/project.html";2;"db_fetched";Wed Dec 03 09:29:03 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"b062a485978ce31974e2f1931f14070a";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:527|||"
"https://www.aoncadis.org/contact/Edgar%20L.%20Andreas/project.html";2;"db_fetched";Wed Dec 03 10:35:00 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"ad254818ea7fd41d8bc3770c04cfd44d";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:582|||"
"https://www.aoncadis.org/contact/Edward%20Brook/project.html";2;"db_fetched";Wed Dec 03 10:48:10 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"192cd5f764aab8c2fdb17d0f87dcbf03";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:533|||"
"https://www.aoncadis.org/contact/Elizabeth%20Cassano/project.html";2;"db_fetched";Wed Dec 03 10:58:13 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"4561ef66f999e780e3828eaf1599a71e";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:531|||"
"https://www.aoncadis.org/contact/Eric%20C.%20Apel/project.html";2;"db_fetched";Wed Dec 03 09:48:39 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"f8b723d12844207272da757a952fa07c";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:647|||"
"https://www.aoncadis.org/contact/Francisco%20Chavez/project.html";2;"db_fetched";Wed Dec 03 10:02:06 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"2a466e3860cadf9a9b0e594708c75960";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:539|||"
"https://www.aoncadis.org/contact/Germar%20Bernhard/project.html";2;"db_fetched";Wed Dec 03 10:53:23 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"cffe5727132f23bf866fcd1702e9a893";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:528|||"
"https://www.aoncadis.org/contact/Ginny%20Catania/project.html";2;"db_fetched";Wed Dec 03 10:17:43 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"d40525786a4c89e7f847cd3aa99d148e";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:564|||"
"https://www.aoncadis.org/contact/Harry%20Brower/project.html";2;"db_fetched";Wed Dec 03 10:19:30 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"0d4914831f3d66371ef87bf4ff850c32";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:480|||"
"https://www.aoncadis.org/contact/Heather%20Alexander/project.html";2;"db_fetched";Wed Dec 03 10:57:41 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"497571af85c3241bdf115687a93ebc74";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:542|||"
"https://www.aoncadis.org/contact/Ian%20Baker/project.html";2;"db_fetched";Wed Dec 03 10:21:28 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"c71b62c5a0c859b0ab22e86f1820a4ea";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:568|||"
"https://www.aoncadis.org/contact/James%20G.%20Bockheim/project.html";2;"db_fetched";Wed Dec 03 09:59:47 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"1da46046f625a53d1fb64c09ab75ec23";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:500|||"
"https://www.aoncadis.org/contact/Jason%20Beringer/project.html";2;"db_fetched";Wed Dec 03 09:41:57 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"855f87caa20f5b9cc4e79492f505791e";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:1102|||"
"https://www.aoncadis.org/contact/Jason%20Box/project.html";2;"db_fetched";Wed Dec 03 09:43:26 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"7208c4d446bb6ff0dde9f9dcbd0fedbf";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:497|||"
"https://www.aoncadis.org/contact/Jason%20Briner/project.html";2;"db_fetched";Wed Dec 03 10:16:27 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"082a822a906f634524590b631f876e30";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:599|||"
"https://www.aoncadis.org/contact/Jim%20Anderson/project.html";2;"db_fetched";Wed Dec 03 10:16:17 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"0246b2b6cc87b3deac64eea96da9f4af";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:565|||"
